,Employee_Name,EmpID,GenderID,PerfScoreID,Salary,Termd,PositionID,Position,State,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,Absences,Status
123,"Hankard, Earnest",10074,1,3,64246,0,20,Production Technician II,MA,1988-08-10,M ,Single,2013-11-11,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,5.0,3,0,1/8/2019,20,Active
124,"Harrington, Christie ",10097,0,3,52177,1,19,Production Technician I,MA,2052-08-18,F,Single,2012-01-09,2015-12-15,retiring,Voluntarily Terminated,Production,CareerBuilder,Fully Meets,4.64,4,0,5/2/2015,8,Baja
125,"Harrison, Kara",10007,0,4,62065,0,19,Production Technician I,MA,1974-05-02,F,Married,2014-05-12,,N/A-StillEmployed,Active,Production,CareerBuilder,Exceeds,4.76,4,0,2/15/2019,5,Active
126,"Heitzman, Anthony",10129,1,3,46998,0,19,Production Technician I,MA,1984-01-04,M ,Single,2012-08-13,,N/A-StillEmployed,Active,Production,Google Search,Fully Meets,4.17,4,0,2/11/2019,1,Active
127,"Hendrickson, Trina",10075,0,3,68099,1,20,Production Technician II,MA,1972-08-27,F,Single,2011-01-10,2013-06-18,hours,Voluntarily Terminated,Production,CareerBuilder,Fully Meets,5.0,3,0,1/30/2013,15,Baja
128,"Hitchcock, Alfred",10167,1,3,70545,0,3,Area Sales Manager,NH,1988-09-14,M ,Married,2014-08-18,,N/A-StillEmployed,Active,Sales,Indeed,Fully Meets,3.6,5,0,1/30/2019,9,Active
129,"Homberger, Adrienne  J",10195,0,3,63478,1,20,Production Technician II,MA,1984-02-16,F,Married,2011-08-15,2012-04-07,relocation out of area,Voluntarily Terminated,Production,Indeed,Fully Meets,3.03,5,0,3/5/2012,16,Baja
130,"Horton, Jayne",10112,0,3,97999,0,8,Database Administrator,MA,1984-02-21,F,Single,2015-03-30,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,4.48,5,6,1/3/2019,4,Active
131,"Houlihan, Debra",10272,0,3,180000,0,11,Director of Sales,RI,2066-03-17,F,Married,2014-05-05,,N/A-StillEmployed,Active,Sales,LinkedIn,Fully Meets,4.5,4,0,1/21/2019,19,Active
132,"Howard, Estelle",10182,0,3,49920,1,2,Administrative Assistant,MA,1985-09-16,F,Married,2015-02-16,2015-04-15,"no-call, no-show",Terminated for Cause,Admin Offices,Indeed,Fully Meets,3.24,3,4,4/15/2015,6,Baja
133,"Hudson, Jane",10248,0,3,55425,0,19,Production Technician I,MA,1986-06-10,F,Single,2012-02-20,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.8,4,0,1/7/2019,4,Active
134,"Hunts, Julissa",10201,0,3,69340,0,20,Production Technician II,MA,1984-03-11,F,Single,2016-06-06,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,3.0,5,0,1/18/2019,4,Active
135,"Hutter, Rosalie",10214,0,3,64995,0,20,Production Technician II,MA,1992-05-07,F,Separated,2015-06-05,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,4.5,3,0,2/14/2019,6,Active
136,"Huynh, Ming",10160,0,3,68182,1,20,Production Technician II,MA,1976-09-22,F,Divorced,2011-02-21,2013-04-01,unhappy,Voluntarily Terminated,Production,Google Search,Fully Meets,3.72,3,0,2/1/2013,18,Baja
137,"Immediato, Walter",10289,1,2,83082,1,18,Production Manager,MA,1976-11-15,M ,Married,2011-02-21,2012-09-24,unhappy,Voluntarily Terminated,Production,Indeed,Needs Improvement,2.34,2,0,4/12/2012,4,Baja
138,"Ivey, Rose ",10139,0,3,51908,0,19,Production Technician I,MA,1991-01-28,F,Single,2013-08-19,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,3.99,3,0,1/14/2019,14,Active
139,"Jackson, Maryellen",10227,0,3,61242,0,19,Production Technician I,MA,1972-09-11,F,Single,2012-11-05,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.1,3,0,1/17/2019,7,Active
140,"Jacobi, Hannah  ",10236,0,3,45069,0,19,Production Technician I,MA,2066-03-22,F,Divorced,2013-09-30,,N/A-StillEmployed,Active,Production,Employee Referral,Fully Meets,4.3,5,0,2/22/2019,7,Active
141,"Jeannite, Tayana",10009,0,4,60724,0,20,Production Technician II,MA,1986-11-06,F,Divorced,2011-07-05,,N/A-StillEmployed,Active,Production,LinkedIn,Exceeds,4.6,4,0,2/25/2019,11,Active
142,"Jhaveri, Sneha  ",10060,0,3,60436,0,19,Production Technician I,MA,2064-04-13,F,Separated,2014-01-06,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,5.0,5,0,1/21/2019,9,Active
143,"Johnson, George",10034,1,4,46837,1,19,Production Technician I,MA,2059-08-19,M ,Married,2011-11-07,2018-04-29,more money,Voluntarily Terminated,Production,CareerBuilder,Exceeds,4.7,4,0,2/14/2018,9,Baja
144,"Johnson, Noelle ",10156,0,3,105700,0,8,Database Administrator,MA,1986-11-07,F,Married,2015-01-05,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,3.75,3,5,2/11/2019,2,Active
145,"Johnston, Yen",10036,0,4,63322,0,20,Production Technician II,MA,2069-09-08,F,Single,2014-07-07,,N/A-StillEmployed,Active,Production,LinkedIn,Exceeds,4.3,3,0,1/11/2019,1,Active
146,"Jung, Judy  ",10138,0,3,61154,1,19,Production Technician I,MA,1986-04-17,F,Married,2011-01-10,2016-04-01,unhappy,Voluntarily Terminated,Production,CareerBuilder,Fully Meets,4.0,4,0,2/3/2016,4,Baja
147,"Kampew, Donysha",10244,0,3,68999,1,21,Sales Manager,PA,1989-11-11,F,Single,2011-11-07,2014-04-24,maternity leave - did not return,Voluntarily Terminated,Sales,Google Search,Fully Meets,4.5,5,0,3/30/2013,2,Baja
148,"Keatts, Kramer ",10192,1,3,50482,0,19,Production Technician I,MA,1976-01-19,M ,Single,2013-09-30,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,3.07,4,0,1/23/2019,10,Active
149,"Khemmich, Bartholemew",10231,1,3,65310,0,3,Area Sales Manager,CO,1979-11-27,M ,Single,2013-08-19,,N/A-StillEmployed,Active,Sales,Indeed,Fully Meets,4.3,5,0,1/22/2019,13,Active
150,"King, Janet",10089,0,3,250000,0,16,President & CEO,MA,2054-09-21,F,Married,2012-07-02,,N/A-StillEmployed,Active,Executive Office,Indeed,Fully Meets,4.83,3,0,1/17/2019,10,Active
151,"Kinsella, Kathleen  ",10166,0,3,54005,1,19,Production Technician I,MA,1973-12-08,F,Married,2011-09-26,2015-06-04,more money,Voluntarily Terminated,Production,Google Search,Fully Meets,3.6,5,0,3/1/2015,16,Baja
152,"Kirill, Alexandra  ",10170,0,3,45433,1,19,Production Technician I,MA,2070-10-08,F,Married,2011-09-26,2014-01-09,more money,Voluntarily Terminated,Production,Google Search,Fully Meets,3.49,4,0,1/30/2013,6,Baja
153,"Knapp, Bradley  J",10208,1,3,46654,0,19,Production Technician I,MA,1977-11-10,M ,Single,2014-02-17,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,3.1,3,0,2/6/2019,3,Active
154,"Kretschmer, John",10176,1,3,63973,0,19,Production Technician I,MA,1980-02-02,M ,Married,2011-01-10,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,3.38,3,0,1/21/2019,17,Active
155,"Kreuger, Freddy",10165,1,3,71339,0,3,Area Sales Manager,NY,2069-02-24,M ,Single,2011-03-07,,N/A-StillEmployed,Active,Sales,Diversity Job Fair,Fully Meets,3.65,5,0,1/17/2019,20,Active
156,"Lajiri,  Jyoti",10113,1,3,93206,0,28,Sr. Network Engineer,MA,1986-04-23,M ,Married,2014-11-10,,N/A-StillEmployed,Active,IT/IS,Employee Referral,Fully Meets,4.46,5,6,1/7/2019,7,Active
157,"Landa, Hans",10092,1,3,82758,1,18,Production Manager,MA,1972-07-01,M ,Married,2011-01-10,2015-12-12,attendance,Terminated for Cause,Production,Employee Referral,Fully Meets,4.78,4,0,2/15/2015,9,Baja
158,"Langford, Lindsey",10106,0,3,66074,1,20,Production Technician II,MA,1979-07-25,F,Divorced,2013-01-07,2014-03-31,Another position,Voluntarily Terminated,Production,Indeed,Fully Meets,4.52,3,0,2/20/2014,20,Baja
159,"Langton, Enrico",10052,1,3,46120,0,19,Production Technician I,MA,1986-12-09,M ,Married,2012-07-09,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,5.0,5,0,2/4/2019,13,Active
160,"LaRotonda, William  ",10038,1,3,64520,0,1,Accountant I,MA,1984-04-26,M ,Divorced,2014-01-06,,N/A-StillEmployed,Active,Admin Offices,Website,Fully Meets,5.0,4,4,1/17/2019,3,Active
161,"Latif, Mohammed",10249,1,3,61962,1,20,Production Technician II,MA,1984-05-09,M ,Married,2012-04-02,2013-04-15,more money,Voluntarily Terminated,Production,Google Search,Fully Meets,4.9,3,0,2/20/2013,20,Baja
162,"Le, Binh",10232,0,3,81584,0,22,Senior BI Developer,MA,1987-06-14,F,Single,2016-10-02,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,4.1,5,7,1/8/2019,2,Active
163,"Leach, Dallas",10087,0,3,63676,1,19,Production Technician I,MA,1979-01-17,F,Single,2011-09-26,2018-08-19,return to school,Voluntarily Terminated,Production,CareerBuilder,Fully Meets,4.88,3,0,7/2/2017,17,Baja
164,"LeBlanc, Brandon  R",10134,1,3,93046,0,23,Shared Services Manager,MA,1984-06-10,M ,Married,2016-01-05,,N/A-StillEmployed,Active,Admin Offices,CareerBuilder,Fully Meets,4.1,4,0,1/28/2019,20,Active
165,"Lecter, Hannibal",10251,1,3,64738,0,19,Production Technician I,MA,1982-09-02,M ,Married,2012-05-14,,N/A-StillEmployed,Active,Production,Google Search,Fully Meets,4.1,3,0,2/22/2019,10,Active
166,"Leruth, Giovanni",10103,1,3,70468,0,3,Area Sales Manager,UT,1988-12-27,M ,Separated,2012-04-30,,N/A-StillEmployed,Active,Sales,Website,Fully Meets,4.53,3,0,1/29/2019,16,Active
167,"Liebig, Ketsia",10017,0,4,77915,0,18,Production Manager,MA,1981-10-26,F,Married,2013-09-30,,N/A-StillEmployed,Active,Production,Website,Exceeds,4.1,3,0,1/21/2019,11,Active
168,"Linares, Marilyn ",10186,0,3,52624,1,19,Production Technician I,MA,1981-03-26,F,Married,2011-07-05,2018-09-26,unhappy,Voluntarily Terminated,Production,Indeed,Fully Meets,3.18,4,0,3/2/2018,16,Baja
169,"Linden, Mathew",10137,1,3,63450,0,20,Production Technician II,MA,1979-03-19,M ,Married,2013-07-08,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.0,3,0,2/18/2019,7,Active
170,"Lindsay, Leonara ",10008,0,4,51777,0,14,IT Support,CT,1988-10-05,F,Single,2011-01-21,,N/A-StillEmployed,Active,IT/IS,Diversity Job Fair,Exceeds,4.64,4,5,1/25/2019,14,Active
171,"Lundy, Susan",10096,0,3,67237,1,20,Production Technician II,MA,1976-12-26,F,Widowed,2013-07-08,2016-09-15,more money,Voluntarily Terminated,Production,LinkedIn,Fully Meets,4.65,4,0,6/10/2016,15,Baja
172,"Lunquist, Lisa",10035,0,4,73330,0,20,Production Technician II,MA,1982-03-28,F,Single,2013-08-19,,N/A-StillEmployed,Active,Production,Indeed,Exceeds,4.2,4,0,2/12/2019,19,Active
173,"Lydon, Allison",10057,0,3,52057,0,19,Production Technician I,MA,1975-10-22,F,Married,2015-02-16,,N/A-StillEmployed,Active,Production,Website,Fully Meets,5.0,3,0,1/23/2019,6,Active
174,"Lynch, Lindsay",10004,0,4,47434,1,19,Production Technician I,MA,1973-02-14,F,Single,2011-11-07,2015-11-14,Another position,Voluntarily Terminated,Production,Diversity Job Fair,Exceeds,5.0,4,0,2/2/2015,17,Baja
175,"MacLennan, Samuel",10191,1,3,52788,1,19,Production Technician I,MA,1972-11-09,M ,Widowed,2012-09-24,2017-09-26,hours,Voluntarily Terminated,Production,Indeed,Fully Meets,3.08,4,0,4/1/2017,18,Baja
176,"Mahoney, Lauren  ",10219,0,3,45395,0,19,Production Technician I,MA,1986-07-07,F,Single,2014-01-06,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.6,4,0,2/26/2019,14,Active
177,"Manchester, Robyn",10077,0,3,62385,0,20,Production Technician II,MA,1976-08-25,F,Married,2016-05-11,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,5.0,3,0,1/21/2019,4,Active
178,"Mancuso, Karen",10073,0,3,68407,1,20,Production Technician II,MA,1986-12-10,F,Married,2011-07-05,2012-08-19,Another position,Voluntarily Terminated,Production,LinkedIn,Fully Meets,5.0,4,0,7/2/2012,16,Baja
179,"Mangal, Debbie",10279,0,3,61349,0,19,Production Technician I,MA,1974-11-07,F,Married,2013-11-11,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.1,3,0,1/22/2019,11,Active
180,"Martin, Sandra",10110,0,3,105688,0,24,Software Engineer,MA,1987-11-07,F,Single,2013-11-11,,N/A-StillEmployed,Active,Software Engineering,Google Search,Fully Meets,4.5,5,4,1/14/2019,14,Active
181,"Maurice, Shana",10053,0,3,54132,0,19,Production Technician I,MA,1977-11-22,F,Married,2011-05-31,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,5.0,4,0,1/10/2019,8,Active
182,"Carthy, B'rigit",10076,0,3,55315,0,20,Production Technician II,MA,1987-05-21,F,Single,2015-03-30,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,5.0,5,0,2/7/2019,16,Active
183,"Mckenna, Sandy",10145,0,3,62810,0,19,Production Technician I,MA,1987-01-07,F,Married,2013-01-07,,N/A-StillEmployed,Active,Production,CareerBuilder,Fully Meets,3.93,3,0,1/30/2019,20,Active
184,"McKinzie, Jac",10202,1,3,63291,0,3,Area Sales Manager,TX,1984-07-01,M ,Married,2016-07-06,,N/A-StillEmployed,Active,Sales,Website,Fully Meets,3.4,4,0,1/29/2019,7,Active
185,"Meads, Elizabeth",10128,0,3,62659,1,19,Production Technician I,MA,2068-05-30,F,Single,2012-04-02,2016-11-11,Another position,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.18,4,0,2/5/2016,17,Baja
186,"Medeiros, Jennifer",10068,0,3,55688,0,19,Production Technician I,MA,1976-09-22,F,Single,2015-03-30,,N/A-StillEmployed,Active,Production,CareerBuilder,Fully Meets,5.0,4,0,1/21/2019,10,Active
187,"Miller, Brannon",10116,1,3,83667,0,18,Production Manager,MA,1981-08-10,M ,Single,2012-08-16,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,4.37,3,0,1/14/2019,2,Active
188,"Miller, Ned",10298,1,1,55800,1,20,Production Technician II,MA,1985-06-29,M ,Single,2011-08-15,2014-09-04,unhappy,Voluntarily Terminated,Production,LinkedIn,PIP,3.0,2,0,1/14/2013,6,Baja
189,"Monkfish, Erasumus",10213,1,3,58207,0,20,Production Technician II,MA,1992-08-17,M ,Married,2011-11-07,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,3.7,3,0,1/8/2019,14,Active
190,"Monroe, Peter",10288,1,2,157000,0,13,IT Manager - Infra,MA,1986-10-05,M ,Married,2012-02-15,,N/A-StillEmployed,Active,IT/IS,Diversity Job Fair,Needs Improvement,2.39,3,6,2/22/2019,13,Active
191,"Monterro, Luisa",10025,0,4,72460,0,20,Production Technician II,MA,2070-04-24,F,Single,2013-05-13,,N/A-StillEmployed,Active,Production,Indeed,Exceeds,4.7,3,0,1/14/2019,1,Active
192,"Moran, Patrick",10223,1,3,72106,0,20,Production Technician II,MA,1976-12-03,M ,Single,2012-01-09,,N/A-StillEmployed,Active,Production,Diversity Job Fair,Fully Meets,4.1,4,0,1/31/2019,12,Active
193,"Morway, Tanya",10151,0,3,52599,0,15,Network Engineer,MA,1979-04-04,F,Married,2015-02-16,,N/A-StillEmployed,Active,IT/IS,CareerBuilder,Fully Meets,3.81,3,6,2/11/2019,6,Active
194,"Motlagh,  Dawn",10254,0,3,63430,0,19,Production Technician I,MA,1984-07-07,F,Divorced,2013-04-01,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.4,4,0,1/17/2019,18,Active
195,"Moumanil, Maliki ",10120,1,3,74417,0,20,Production Technician II,MA,1974-12-01,M ,Separated,2013-05-13,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.29,5,0,1/28/2019,11,Active
196,"Myers, Michael",10216,1,3,57575,0,19,Production Technician I,MA,1980-04-18,M ,Single,2013-07-08,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.1,4,0,1/22/2019,13,Active
197,"Navathe, Kurt",10079,1,3,87921,0,22,Senior BI Developer,MA,2070-04-25,M ,Single,2017-02-10,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,5.0,3,6,2/25/2019,17,Active
198,"Ndzi, Colombui",10215,1,3,50470,1,19,Production Technician I,MA,1989-05-02,M ,Single,2011-09-26,2014-04-04,return to school,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.3,3,0,3/2/2013,19,Baja
199,"Ndzi, Horia",10185,1,3,46664,1,19,Production Technician I,MA,1983-03-28,M ,Married,2013-04-01,2016-05-25,more money,Voluntarily Terminated,Production,Employee Referral,Fully Meets,3.18,3,0,3/6/2016,10,Baja
200,"Newman, Richard ",10063,1,3,48495,0,19,Production Technician I,MA,1977-04-08,M ,Married,2014-05-12,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,5.0,5,0,2/18/2019,11,Active
201,"Ngodup, Shari ",10037,0,4,52984,0,19,Production Technician I,MA,2067-06-03,F,Separated,2013-04-01,,N/A-StillEmployed,Active,Production,Diversity Job Fair,Exceeds,4.0,3,0,2/13/2019,12,Active
202,"Nguyen, Dheepa",10042,0,3,63695,0,3,Area Sales Manager,GA,1989-03-31,F,Single,2013-07-08,,N/A-StillEmployed,Active,Sales,Indeed,Fully Meets,5.0,5,0,1/25/2019,2,Active
203,"Nguyen, Lei-Ming",10206,0,3,62061,0,19,Production Technician I,MA,1984-07-07,F,Single,2013-07-08,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,3.6,5,0,1/2/2019,4,Active
204,"Nowlan, Kristie",10104,0,3,66738,0,20,Production Technician II,MA,1985-11-23,F,Single,2014-11-10,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,4.53,5,0,1/16/2019,5,Active
205,"O'hare, Lynn",10303,0,1,52674,1,19,Production Technician I,MA,1980-09-30,F,Single,2014-03-31,2018-05-01,performance,Terminated for Cause,Production,LinkedIn,PIP,2.33,2,0,3/9/2018,3,Baja
206,"Oliver, Brooke ",10078,0,3,71966,1,20,Production Technician II,MA,2052-02-11,F,Married,2012-05-14,2013-08-19,unhappy,Voluntarily Terminated,Production,LinkedIn,Fully Meets,5.0,3,0,7/2/2013,17,Baja
207,"Onque, Jasmine",10121,0,3,63051,0,3,Area Sales Manager,FL,1990-05-11,F,Single,2013-09-30,,N/A-StillEmployed,Active,Sales,Indeed,Fully Meets,4.28,3,0,1/25/2019,1,Active
208,"Osturnka, Adeel",10021,1,4,47414,0,19,Production Technician I,MA,1976-12-11,M ,Married,2013-09-30,,N/A-StillEmployed,Active,Production,LinkedIn,Exceeds,5.0,3,0,2/7/2019,13,Active
209,"Owad, Clinton",10281,1,2,53060,0,19,Production Technician I,MA,1979-11-24,M ,Single,2014-02-17,,N/A-StillEmployed,Active,Production,LinkedIn,Needs Improvement,4.25,3,0,2/4/2019,6,Active
210,"Ozark, Travis",10041,1,3,68829,0,3,Area Sales Manager,NC,1982-05-19,M ,Single,2015-01-05,,N/A-StillEmployed,Active,Sales,Website,Fully Meets,5.0,5,0,1/14/2019,18,Active
211,"Panjwani, Nina",10148,0,3,63515,1,19,Production Technician I,MA,1979-05-01,F,Married,2011-02-07,2014-01-12,Another position,Voluntarily Terminated,Production,Google Search,Fully Meets,3.89,4,0,3/4/2013,7,Baja
212,"Patronick, Lucas",10005,1,4,108987,1,24,Software Engineer,MA,1979-02-20,M ,Single,2011-11-07,2015-09-07,Another position,Voluntarily Terminated,Software Engineering,Diversity Job Fair,Exceeds,5.0,5,3,8/16/2015,13,Baja
213,"Pearson, Randall",10259,1,3,93093,1,9,Data Analyst,MA,1984-09-05,M ,Married,2014-12-01,2016-05-01,performance,Voluntarily Terminated,IT/IS,Employee Referral,Fully Meets,4.7,4,5,1/16/2016,19,Baja
214,"Smith, Martin",10286,1,2,53564,1,19,Production Technician I,MA,1988-03-17,M ,Single,2011-01-10,2017-12-28,career change,Voluntarily Terminated,Production,Google Search,Needs Improvement,3.54,5,0,4/6/2017,15,Baja
215,"Pelletier, Ermine",10297,0,2,60270,1,20,Production Technician II,MA,1989-07-18,F,Married,2011-07-05,2015-09-15,unhappy,Voluntarily Terminated,Production,CareerBuilder,Needs Improvement,2.4,5,0,2/6/2015,2,Baja
216,"Perry, Shakira",10171,0,3,45998,1,19,Production Technician I,MA,1986-07-20,F,Single,2011-05-16,2015-10-25,medical issues,Voluntarily Terminated,Production,LinkedIn,Fully Meets,3.45,4,0,5/13/2014,5,Baja
217,"Peters, Lauren",10032,0,4,57954,1,20,Production Technician II,MA,1986-08-17,F,Married,2011-05-16,2013-02-04,more money,Voluntarily Terminated,Production,Indeed,Exceeds,4.2,5,0,1/10/2013,12,Baja
218,"Peterson, Ebonee  ",10130,0,3,74669,1,18,Production Manager,MA,1977-05-09,F,Married,2010-10-25,2016-05-18,Another position,Voluntarily Terminated,Production,Indeed,Fully Meets,4.16,5,0,3/5/2015,6,Baja
219,"Petingill, Shana  ",10217,0,3,74226,0,20,Production Technician II,MA,1979-03-10,F,Married,2012-04-02,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.3,3,0,1/14/2019,14,Active
220,"Petrowsky, Thelma",10016,0,4,93554,0,9,Data Analyst,MA,1984-09-16,F,Married,2014-11-10,,N/A-StillEmployed,Active,IT/IS,Employee Referral,Exceeds,4.6,5,7,1/4/2019,16,Active
221,"Pham, Hong",10050,1,3,64724,1,19,Production Technician I,MA,1988-03-06,M ,Married,2011-07-05,2012-11-30,more money,Voluntarily Terminated,Production,Google Search,Fully Meets,5.0,3,0,2/20/2012,13,Baja
222,"Pitt, Brad ",10164,1,3,47001,0,19,Production Technician I,MA,1981-11-23,M ,Single,2007-11-05,,N/A-StillEmployed,Active,Production,Google Search,Fully Meets,3.66,3,0,2/25/2019,15,Active
223,"Potts, Xana",10124,0,3,61844,0,3,Area Sales Manager,KY,1988-08-29,F,Married,2012-01-09,,N/A-StillEmployed,Active,Sales,Website,Fully Meets,4.2,5,0,2/1/2019,9,Active
224,"Power, Morissa",10187,0,3,46799,1,19,Production Technician I,MA,1984-10-15,F,Divorced,2011-05-16,2018-06-04,Another position,Voluntarily Terminated,Production,Google Search,Fully Meets,3.17,4,0,4/2/2018,14,Baja
225,"Punjabhi, Louis  ",10225,1,3,59472,0,19,Production Technician I,MA,2061-06-19,M ,Single,2014-01-06,,N/A-StillEmployed,Active,Production,Employee Referral,Fully Meets,4.8,3,0,1/7/2019,14,Active
226,"Purinton, Janine",10262,0,3,46430,1,19,Production Technician I,MA,2070-09-22,F,Divorced,2012-09-24,2013-06-18,unhappy,Voluntarily Terminated,Production,Indeed,Fully Meets,4.5,5,0,4/2/2013,16,Baja
227,"Quinn, Sean",10131,1,3,83363,1,23,Software Engineer,MA,1984-11-06,M ,Married,2011-02-21,2015-08-15,career change,Voluntarily Terminated,Software Engineering,Diversity Job Fair,Fully Meets,4.15,4,0,4/19/2014,4,Baja
228,"Rachael, Maggie",10239,0,3,95920,0,4,BI Developer,MA,1980-05-12,F,Married,2016-10-02,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,4.4,4,6,2/6/2019,10,Active
229,"Rarrick, Quinn",10152,1,3,61729,1,19,Production Technician I,MA,1984-12-31,M ,Divorced,2011-09-26,2018-04-07,more money,Voluntarily Terminated,Production,Indeed,Fully Meets,3.8,5,0,2/4/2018,19,Baja
230,"Ren, Kylo",10140,1,3,61809,0,3,Area Sales Manager,ID,2054-10-12,M ,Married,2014-05-12,,N/A-StillEmployed,Active,Sales,CareerBuilder,Fully Meets,3.98,3,0,1/28/2019,4,Active
231,"Rhoads, Thomas",10058,1,3,45115,1,19,Production Technician I,MA,1982-07-22,M ,Divorced,2011-05-16,2016-01-15,retiring,Voluntarily Terminated,Production,LinkedIn,Fully Meets,5.0,4,0,3/30/2015,11,Baja
232,"Rivera, Haley  ",10011,0,4,46738,0,19,Production Technician I,MA,1973-01-12,F,Married,2011-11-28,,N/A-StillEmployed,Active,Production,Google Search,Exceeds,4.36,5,0,2/11/2019,16,Active
233,"Roberson, May",10230,0,3,64971,1,20,Production Technician II,MA,1981-09-05,F,Divorced,2011-09-26,2011-10-22,return to school,Voluntarily Terminated,Production,Google Search,Fully Meets,4.5,4,0,10/22/2011,10,Baja
234,"Robertson, Peter",10224,1,3,55578,1,20,Production Technician II,MA,1972-07-03,M ,Married,2011-07-05,2012-02-08,Another position,Voluntarily Terminated,Production,Indeed,Fully Meets,4.2,5,0,1/6/2012,13,Baja
235,"Robinson, Alain  ",10047,1,3,50428,1,19,Production Technician I,MA,1974-01-07,M ,Married,2011-01-10,2016-01-26,attendance,Voluntarily Terminated,Production,Indeed,Fully Meets,5.0,3,0,1/10/2015,11,Baja
236,"Robinson, Cherly",10285,0,2,61422,1,19,Production Technician I,MA,1985-01-07,F,Married,2011-01-10,2016-05-17,attendance,Terminated for Cause,Production,Indeed,Needs Improvement,3.6,3,0,4/5/2016,16,Baja
237,"Robinson, Elias",10020,1,4,63353,0,19,Production Technician I,MA,1985-01-28,M ,Widowed,2013-07-08,,N/A-StillEmployed,Active,Production,Employee Referral,Exceeds,3.6,5,0,2/11/2019,4,Active
238,"Roby, Lori ",10162,0,3,89883,0,9,Data Analyst,MA,1981-10-11,F,Married,2015-02-16,,N/A-StillEmployed,Active,IT/IS,Employee Referral,Fully Meets,3.69,5,6,2/14/2019,15,Active
239,"Roehrich, Bianca",10149,0,3,120000,1,29,Principal Data Architect,MA,1973-05-27,F,Single,2015-01-05,2018-11-10,Another position,Voluntarily Terminated,IT/IS,LinkedIn,Fully Meets,3.88,3,7,2/13/2018,12,Baja
240,"Roper, Katie",10086,0,3,150290,0,7,Data Architect,MA,1972-11-21,F,Single,2017-01-07,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,4.94,3,5,2/6/2019,17,Active
241,"Rose, Ashley  ",10054,0,3,60627,0,19,Production Technician I,MA,1974-12-05,F,Separated,2014-01-06,,N/A-StillEmployed,Active,Production,Website,Fully Meets,5.0,4,0,1/31/2019,8,Active
242,"Rossetti, Bruno",10065,1,3,53180,1,19,Production Technician I,MA,1987-03-18,M ,Single,2011-04-04,2018-08-13,Another position,Voluntarily Terminated,Production,Google Search,Fully Meets,5.0,5,0,7/2/2018,4,Baja
243,"Roup,Simon",10198,1,3,140920,0,13,IT Manager - DB,MA,1973-04-05,M ,Single,2013-01-20,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,3.6,5,7,2/18/2019,13,Active
244,"Ruiz, Ricardo",10222,1,3,148999,1,13,IT Manager - DB,MA,2064-01-04,M ,Divorced,2012-01-09,2015-11-04,hours,Voluntarily Terminated,IT/IS,Diversity Job Fair,Fully Meets,4.3,4,6,1/4/2015,8,Baja
245,"Saada, Adell",10126,0,3,86214,0,24,Software Engineer,MA,1986-07-24,F,Married,2012-11-05,,N/A-StillEmployed,Active,Software Engineering,Indeed,Fully Meets,4.2,3,6,2/13/2019,2,Active
